packing_slip_number,center_id,city,model,diopter,serial_number,qty,order_date,ship_date,delivery_date,use_date,day_of_the_week_when_used
561330,OCNH,Heerhugowaard,PC545,20,11767382,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,20.5,11785306,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,20.5,11785279,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561330,OCNH,Heerhugowaard,PC545,21,11779210,1,16-09-25,16-09-25,16-09-25,15-09-25,Monday
561481,OCNH,Heerhugowaard,PC545,23,11793320,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,19,11775616,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,15.5,11605350,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22,11792283,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22,11792325,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22.5,11764798,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,23,11762940,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21,11785367,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,22,11792273,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,17,11772016,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,23,11793280,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21.5,11782909,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21.5,11782891,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,19,11775628,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,18.5,11785512,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561481,OCNH,Heerhugowaard,PC545,21,11779229,1,18-09-25,18-09-25,18-09-25,17-09-25,Wednesday
561549,OCNH,Heerhugowaard,PC545,6,11569923,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,23.5,11765561,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,25.5,11736051,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,24.5,11710434,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,22,11792302,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,22,11792250,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,25,11716903,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,24.5,11710414,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,19.5,11776716,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,18.5,11785508,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,22,11792277,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,21,11779257,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,20.5,11785250,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561549,OCNH,Heerhugowaard,PC545,19,11775629,1,19-09-25,19-09-25,19-09-25,18-09-25,Thursday
561696,OCNH,Heerhugowaard,PC545,21.5,11782882,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,22,11792271,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,19,11775617,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,20.5,11785320,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,19.5,11776628,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,18.5,11785477,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,20,11776783,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,20,11776765,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,20.5,11785308,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,21,11779254,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,21.5,11782866,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,18.5,11785457,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,17,11772069,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,22.5,11764787,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,23.5,11765531,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,19.5,11776706,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561696,OCNH,Heerhugowaard,PC545,19.5,11776692,1,23-09-25,23-09-25,23-09-25,22-09-25,Monday
561799,OCNH,Heerhugowaard,PC545,26,11571028,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,28,11481658,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,25,11716862,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,19,11775640,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,19.5,11776650,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,21.5,11782901,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,18.5,11785487,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,27.5,11634469,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,22,11792306,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,21.5,11782883,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,31,11209920,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,32,11285406,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,25,11716908,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561799,OCNH,Heerhugowaard,PC545,26,11571056,1,24-09-25,24-09-25,24-09-25,23-09-25,Tuesday
561868,OCNH,Heerhugowaard,PC545,19,11775643,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,18,11721909,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,19.5,11776667,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,21,11779208,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
561868,OCNH,Heerhugowaard,PC545,20,11776769,1,25-09-25,25-09-25,25-09-25,24-09-25,Wednesday
